date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:09	33608/33608	---M--	200	added ('OK')	font/woff2	etag:%22a09b75417e48f0d81350cfbe8bcf31bc%22	https://spline.design/fonts/SplineSansMono-Regular.woff2	/Users/banyar-ego/websites/test/spline.design/fonts/SplineSansMono-Regular.woff2	(from https://spline.design/_next/static/css/794bdb826220adef.css)
12:35:11	15825/15825	---MCZ	200	added ('OK')	text/css	etag:W/%22b6cd346a689b4c6faa48eb7406766d8a%22	https://spline.design/_next/static/css/a1bc0db531c11aa0.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/a1bc0db531c11aa0.css	(from https://spline.design/hackathon)
12:35:11	509830/509830	---M--	200	added ('OK')	image/png	etag:%22429becedc24d0c6e9eb5765861e22e40%22	https://spline.design/_next/static/media/og_spline_contra_hackathon.b38f2c08.png	/Users/banyar-ego/websites/test/spline.design/_next/static/media/og_spline_contra_hackathon.b38f2c08.png	(from https://spline.design/hackathon)
12:35:13	1940670/1940670	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271c57f964643589e8dc01f45a5a6d776%22	https://spline.design/_next/static/chunks/58a3678d-abbefe39ead0f07c.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/58a3678d-abbefe39ead0f07c.js	(from https://spline.design/hackathon)
12:35:14	27030/27030	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232476d60bd094a856c881a69a2c7a0cd%22	https://spline.design/_next/static/chunks/2594-7a7b50016809cc1c.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/2594-7a7b50016809cc1c.js	(from https://spline.design/hackathon)
12:35:15	4359/4359	---MCZ	200	added ('OK')	application/javascript	etag:W/%22948c0b608d7c920d7c5c5a4501bbf003%22	https://spline.design/_next/static/chunks/9849-ecb1b6cc72b22ce0.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/9849-ecb1b6cc72b22ce0.js	(from https://spline.design/hackathon)
12:35:16	32479/32479	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263449cad0c83bef6a8728b9bea8f24bd%22	https://spline.design/_next/static/chunks/pages/hackathon-4be53328d825790b.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/hackathon-4be53328d825790b.js	(from https://spline.design/hackathon)
12:35:16	2034/2034	---M--	200	added ('OK')	image/png	date:Thu,%2029%20May%202025%2009:30:15%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fspline_logo.647803e0.png&w=64&q=75	/Users/banyar-ego/websites/test/spline.design/_next/spline_logobd99.png	(from https://spline.design/hackathon)
12:35:18	9879/9879	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2018:45:46%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ffons.f774b009.png&w=384&q=75	/Users/banyar-ego/websites/test/spline.design/_next/fons1676.png	(from https://spline.design/hackathon)
12:35:20	19104/19104	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2018:45:46%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fmax.3117bcb0.png&w=384&q=75	/Users/banyar-ego/websites/test/spline.design/_next/max125c.png	(from https://spline.design/hackathon)
12:35:21	42493/42493	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2018:45:46%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Femili.6cdba16e.png&w=384&q=75	/Users/banyar-ego/websites/test/spline.design/_next/emilifae3.png	(from https://spline.design/hackathon)
12:35:22	42228/42228	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2018:45:46%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fgabor.e395fb22.png&w=384&q=75	/Users/banyar-ego/websites/test/spline.design/_next/gabor5cf1.png	(from https://spline.design/hackathon)
12:35:23	38653/38653	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2018:45:46%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ferin.adbeac81.png&w=384&q=75	/Users/banyar-ego/websites/test/spline.design/_next/erin6ffb.png	(from https://spline.design/hackathon)
12:35:24	22529/22529	---MCZ	200	added ('OK')	text/css	etag:W/%220fe8b9c567f77f94e62ecea3d91972b4%22	https://spline.design/_next/static/css/92cafae0dac33876.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/92cafae0dac33876.css	(from https://spline.design/)
12:35:25	79171/79171	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d0a00507dbb92fd766ea66b487295044%22	https://spline.design/_next/static/chunks/57-7c216cf57fbc9907.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/57-7c216cf57fbc9907.js	(from https://spline.design/)
12:35:26	55053/55053	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fe6efba056945fcc26fe0f34b044b44c%22	https://spline.design/_next/static/chunks/pages/index-b6e9936682ff005e.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/index-b6e9936682ff005e.js	(from https://spline.design/)
12:35:26	203/203	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2004%20Jun%202025%2019:35:26%20GMT	https://spline.design/'https://my.spline.design/cubeaxiswebsiteupdatedinprod-c7eb2ea95c5e22c50b14b5333ee86583/'	/Users/banyar-ego/websites/test/spline.design/'https_/my.spline.design/cubeaxiswebsiteupdatedinprod-c7eb2ea95c5e22c50b14b5333ee86583/'.4a.delayed	(from https://spline.design/)
12:35:27	18430/18430	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2202cab33e87e583661b4cde4d0782bfac%22	https://spline.design/'https:/my.spline.design/cubeaxiswebsiteupdatedinprod-c7eb2ea95c5e22c50b14b5333ee86583/'	/Users/banyar-ego/websites/test/spline.design/'https_/my.spline.design/cubeaxiswebsiteupdatedinprod-c7eb2ea95c5e22c50b14b5333ee86583/'.4b.delayed	(from https://spline.design/)
12:35:28	439/439	---M--	200	added ('OK')	image/png	date:Wed,%2028%20May%202025%2023:07:24%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftypedream.f20239b1.png&w=96&q=75	/Users/banyar-ego/websites/test/spline.design/_next/typedream7b56.png	(from https://spline.design/)
12:35:30	95312/95312	---M--	200	added ('OK')	image/png	etag:%223047709866b3fd2954deab352fcd2a95%22	https://spline.design/_next/static/media/spline_enterprise_og.f4e0dc52.png	/Users/banyar-ego/websites/test/spline.design/_next/static/media/spline_enterprise_og.f4e0dc52.png	(from https://spline.design/enterprise)
12:35:30	285/285	---M--	200	added ('OK')	application/javascript	etag:%22e866a5e3dcbf98ae820abd5e2a622851%22	https://spline.design/_next/static/chunks/pages/enterprise-9c4809de7f6de446.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/enterprise-9c4809de7f6de446.js	(from https://spline.design/enterprise)
12:35:32	8002/8002	---M--	200	added ('OK')	image/png	date:Fri,%2009%20May%202025%2018:15:00%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fsoc.bc5ce451.png&w=256&q=75	/Users/banyar-ego/websites/test/spline.design/_next/soc60c3.png	(from https://spline.design/enterprise)
12:35:33	16233/16233	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Jun%202025%2016:31:12%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FcollabImage.6fe00d92.png&w=1080&q=75	/Users/banyar-ego/websites/test/spline.design/_next/collabImage29c6.png	(from https://spline.design/enterprise)
12:35:34	4437/4437	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Apr%202025%2012:14:23%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ffilipe.d6bfc564.png&w=96&q=75	/Users/banyar-ego/websites/test/spline.design/_next/filipe112e.png	(from https://spline.design/enterprise)
12:35:36	13768/13768	---MCZ	200	added ('OK')	text/css	etag:W/%229d83b5d392aab687061259920f6d2647%22	https://spline.design/_next/static/css/c1cd1bee4a86b65e.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/c1cd1bee4a86b65e.css	(from https://spline.design/pricing)
12:35:37	30053/30053	---MCZ	200	added ('OK')	application/javascript	etag:W/%22393c3172718c9775cb6e6f97a3c11f13%22	https://spline.design/_next/static/chunks/pages/pricing-925ea10f0c5b2d8c.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/pricing-925ea10f0c5b2d8c.js	(from https://spline.design/pricing)
